Site,Year,Sex,Survival,SVL,Mass,Log10 SVL,Log10  Mass,Ln SVL,Ln Mass,Ri Condition,Mi Condition,Std SVL,Std Mass,Std Ri Condition,Std Mi Condition,Relative W
Flamingo Bay Cay,2008,f,1,43,1.4,1.633468456,0.380211242,3.761200116,0.336472237,-0.003632021,1.596561939,-0.532784559,-0.514018692,-0.094093797,0.058353254,1.841620626
Flamingo Bay Cay,2008,f,0,43,1.4,1.633468456,0.380211242,3.761200116,0.336472237,-0.003632021,1.596561939,-0.532784559,-0.514018692,-0.094093797,0.058353254,0
Flamingo Bay Cay,2008,f,0,43,1.4,1.633468456,0.380211242,3.761200116,0.336472237,-0.003632021,1.596561939,-0.532784559,-0.514018692,-0.094093797,0.058353254,0
Flamingo Bay Cay,2008,f,1,44,1.5,1.643452676,0.397940009,3.784189634,0.405465108,-0.002785298,1.593850253,-0.248935566,-0.280373832,-0.07215798,0.043371566,1.841620626
Flamingo Bay Cay,2008,f,0,44,1.5,1.643452676,0.397940009,3.784189634,0.405465108,-0.002785298,1.593850253,-0.248935566,-0.280373832,-0.07215798,0.043371566,0
Flamingo Bay Cay,2008,f,0,44,1.5,1.643452676,0.397940009,3.784189634,0.405465108,-0.002785298,1.593850253,-0.248935566,-0.280373832,-0.07215798,0.043371566,0
Flamingo Bay Cay,2008,f,0,49,2,1.69019608,0.477121255,3.891820298,0.693147181,-0.002641187,1.526336488,1.170309395,0.887850467,-0.068424531,-0.329632661,0
Flamingo Bay Cay,2008,f,0,49,2,1.69019608,0.477121255,3.891820298,0.693147181,-0.002641187,1.526336488,1.170309395,0.887850467,-0.068424531,-0.329632661,0
Flamingo Bay Cay,2008,f,1,45,1.6,1.653212514,0.414973348,3.80666249,0.470003629,-0.002254599,1.586590099,0.034913426,-0.046728972,-0.058409302,0.003260215,1.841620626
Flamingo Bay Cay,2008,f,1,45,1.6,1.653212514,0.414973348,3.80666249,0.470003629,-0.002254599,1.586590099,0.034913426,-0.046728972,-0.058409302,0.003260215,1.841620626
Flamingo Bay Cay,2008,f,1,45,1.6,1.653212514,0.414973348,3.80666249,0.470003629,-0.002254599,1.586590099,0.034913426,-0.046728972,-0.058409302,0.003260215,1.841620626
Flamingo Bay Cay,2008,f,0,48,1.9,1.681241237,0.462397998,3.871201011,0.641853886,-0.002222947,1.544934363,0.886460403,0.654205607,-0.057589292,-0.226881973,0
Flamingo Bay Cay,2008,f,0,46,1.7,1.662757832,0.431363764,3.828641396,0.530628251,-0.002004098,1.575584958,0.318762418,0.186915888,-0.051919645,-0.05754167,0
Flamingo Bay Cay,2008,f,1,47,1.8,1.672097858,0.447158031,3.850147602,0.587786665,-0.002002624,1.561510212,0.602611411,0.420560748,-0.051881464,-0.135302694,1.841620626
Flamingo Bay Cay,2008,f,1,47,1.8,1.672097858,0.447158031,3.850147602,0.587786665,-0.002002624,1.561510212,0.602611411,0.420560748,-0.051881464,-0.135302694,1.841620626
Flamingo Bay Cay,2008,f,1,51,2.3,1.707570176,0.51851394,3.931825633,0.832909123,0.009374117,1.552111017,1.73800738,1.588785047,0.242852779,-0.187231952,1.841620626
Flamingo Bay Cay,2008,f,1,39,1.1,1.591064607,0.322219295,3.663561646,0.09531018,0.010075533,1.693722495,-1.668180528,-1.214953271,0.261024177,0.595151904,1.841620626
Flamingo Bay Cay,2008,f,0,39,1.1,1.591064607,0.322219295,3.663561646,0.09531018,0.010075533,1.693722495,-1.668180528,-1.214953271,0.261024177,0.595151904,0
Flamingo Bay Cay,2008,f,0,39,1.1,1.591064607,0.322219295,3.663561646,0.09531018,0.010075533,1.693722495,-1.668180528,-1.214953271,0.261024177,0.595151904,0
Flamingo Bay Cay,2008,f,1,49,2.1,1.69019608,0.491361694,3.891820298,0.741937345,0.011599252,1.602653313,1.170309395,1.121495327,0.300498762,0.092007253,1.841620626
Flamingo Bay Cay,2008,f,1,49,2.1,1.69019608,0.491361694,3.891820298,0.741937345,0.011599252,1.602653313,1.170309395,1.121495327,0.300498762,0.092007253,1.841620626
Flamingo Bay Cay,2008,f,1,49,2.1,1.69019608,0.491361694,3.891820298,0.741937345,0.011599252,1.602653313,1.170309395,1.121495327,0.300498762,0.092007253,1.841620626
Flamingo Bay Cay,2008,f,0,40,1.2,1.602059991,0.342422681,3.688879454,0.182321557,0.011687127,1.709306758,-1.384331536,-0.981308411,0.302775299,0.681252807,0
Flamingo Bay Cay,2008,f,0,40,1.2,1.602059991,0.342422681,3.688879454,0.182321557,0.011687127,1.709306758,-1.384331536,-0.981308411,0.302775299,0.681252807,0
Flamingo Bay Cay,2008,f,0,40,1.2,1.602059991,0.342422681,3.688879454,0.182321557,0.011687127,1.709306758,-1.384331536,-0.981308411,0.302775299,0.681252807,0
Flamingo Bay Cay,2008,f,0,40,1.2,1.602059991,0.342422681,3.688879454,0.182321557,0.011687127,1.709306758,-1.384331536,-0.981308411,0.302775299,0.681252807,0
Flamingo Bay Cay,2008,f,0,40,1.2,1.602059991,0.342422681,3.688879454,0.182321557,0.011687127,1.709306758,-1.384331536,-0.981308411,0.302775299,0.681252807,0
Flamingo Bay Cay,2008,f,1,48,2,1.681241237,0.477121255,3.871201011,0.693147181,0.01250031,1.626246698,0.886460403,0.887850467,0.323842232,0.222357446,1.841620626
Flamingo Bay Cay,2008,f,1,41,1.3,1.612783857,0.361727836,3.713572067,0.262364264,0.012859593,1.716351484,-1.100482543,-0.747663551,0.333150073,0.720173945,1.841620626
Flamingo Bay Cay,2008,f,0,41,1.3,1.612783857,0.361727836,3.713572067,0.262364264,0.012859593,1.716351484,-1.100482543,-0.747663551,0.333150073,0.720173945,0
Flamingo Bay Cay,2008,f,1,42,1.4,1.62324929,0.380211242,3.737669618,0.336472237,0.013647285,1.716365217,-0.816633551,-0.514018692,0.353556597,0.720249816,1.841620626
Flamingo Bay Cay,2008,f,1,43,1.5,1.633468456,0.397940009,3.761200116,0.405465108,0.014096746,1.710602077,-0.532784559,-0.280373832,0.365200684,0.688409267,1.841620626
Flamingo Bay Cay,2008,f,1,43,1.5,1.633468456,0.397940009,3.761200116,0.405465108,0.014096746,1.710602077,-0.532784559,-0.280373832,0.365200684,0.688409267,1.841620626
Flamingo Bay Cay,2008,f,0,45,1.7,1.653212514,0.431363764,3.80666249,0.530628251,0.014135817,1.68575198,0.034913426,0.186915888,0.366212879,0.551115912,0
Flamingo Bay Cay,2008,f,0,44,1.6,1.643452676,0.414973348,3.784189634,0.470003629,0.014248041,1.700106937,-0.248935566,-0.046728972,0.36912024,0.630425066,0
Flamingo Bay Cay,2008,f,1,49,2.2,1.69019608,0.505149978,3.891820298,0.78845736,0.025387537,1.678970137,1.170309395,1.355140187,0.657708205,0.513647167,1.841620626
Flamingo Bay Cay,2008,f,1,47,2,1.672097858,0.477121255,3.850147602,0.693147181,0.027960599,1.735011347,0.602611411,0.887850467,0.724367847,0.823267111,1.841620626
Flamingo Bay Cay,2008,f,0,47,2,1.672097858,0.477121255,3.850147602,0.693147181,0.027960599,1.735011347,0.602611411,0.887850467,0.724367847,0.823267111,0
Flamingo Bay Cay,2008,f,0,38,1.1,1.579783597,0.322219295,3.63758616,0.09531018,0.029150283,1.834557645,-1.95202952,-1.214953271,0.755188687,1.373246656,0
Flamingo Bay Cay,2008,f,1,45,1.8,1.653212514,0.447158031,3.80666249,0.587786665,0.029930084,1.784913861,0.034913426,0.420560748,0.775390785,1.098971609,1.841620626
Flamingo Bay Cay,2008,f,0,39,1.2,1.591064607,0.342422681,3.663561646,0.182321557,0.030278919,1.847697267,-1.668180528,-0.981308411,0.784427961,1.445841254,0
Flamingo Bay Cay,2008,f,0,41,1.4,1.612783857,0.380211242,3.713572067,0.336472237,0.031342998,1.848378521,-1.100482543,-0.514018692,0.81199478,1.44960509,0
Flamingo Bay Cay,2008,f,1,42,1.5,1.62324929,0.397940009,3.737669618,0.405465108,0.031376052,1.838962732,-0.816633551,-0.280373832,0.812851078,1.397584155,1.841620626
Flamingo Bay Cay,2008,f,1,42,1.5,1.62324929,0.397940009,3.737669618,0.405465108,0.031376052,1.838962732,-0.816633551,-0.280373832,0.812851078,1.397584155,1.841620626
Flamingo Bay Cay,2008,f,1,47,2.1,1.672097858,0.491361694,3.850147602,0.741937345,0.042201038,1.821761915,0.602611411,1.121495327,1.09329114,1.302552014,1.841620626
Flamingo Bay Cay,2008,f,1,47,2.1,1.672097858,0.491361694,3.850147602,0.741937345,0.042201038,1.821761915,0.602611411,1.121495327,1.09329114,1.302552014,1.841620626
