Site,Year,Sex,Survival,SVL (mm),Mass (g),Log10 SVL,Log10 Mass,Ln SVL,Ln Mass,Ri Condition,Mi Condition,Std SVL,Std Mass,Std Ri Condition,Std Mi Condition,Relative W
Flamingo Bay Cay,2006,m,0,62,5.7,1.792391689,0.826074803,4.127134385,1.740466175,0.006748451,4.449058711,1.248306998,1.304705882,0.217691958,-0.168940311,0
Flamingo Bay Cay,2006,m,0,62,5,1.792391689,0.77815125,4.127134385,1.609437912,-0.041175102,3.90268308,1.248306998,0.481176471,-1.328229097,-1.488688212,0
Flamingo Bay Cay,2006,m,0,62,5.5,1.792391689,0.812913357,4.127134385,1.704748092,-0.006412995,4.292951388,1.248306998,1.069411765,-0.206870806,-0.54601114,0
Flamingo Bay Cay,2006,m,0,62,5.9,1.792391689,0.838849091,4.127134385,1.774952351,0.019522739,4.605166034,1.248306998,1.54,0.629765768,0.208130518,0
Flamingo Bay Cay,2006,m,0,62.5,5.4,1.795880017,0.806179974,4.135166557,1.686398954,-0.021558818,4.103095334,1.389390519,0.951764706,-0.695445742,-1.004600643,0
Flamingo Bay Cay,2006,m,0,64,6,1.806179974,0.84509804,4.158883083,1.791759469,-0.007480094,4.211096013,1.812641084,1.657647059,-0.241293355,-0.743729438,0
Flamingo Bay Cay,2007,m,0,46,2,1.662757832,0.477121255,3.828641396,0.693147181,0.028658786,4.639119929,-2.640996857,-1.999101527,0.742455586,1.147664239,0
Flamingo Bay Cay,2007,m,0,47,2,1.672097858,0.477121255,3.850147602,0.693147181,0.003867802,4.284737327,-2.416479569,-1.999101527,0.100202128,0.344075571,0
Flamingo Bay Cay,2007,m,0,48,2,1.681241237,0.477121255,3.871201011,0.693147181,-0.020401227,3.964052667,-2.191962281,-1.999101527,-0.528529194,-0.383100529,0
Flamingo Bay Cay,2007,m,1,48,2,1.681241237,0.477121255,3.871201011,0.693147181,-0.020401227,3.964052667,-2.191962281,-1.999101527,-0.528529194,-0.383100529,5.586592179
Flamingo Bay Cay,2007,m,0,49,2.05,1.69019608,0.484299839,3.891820298,0.717839793,-0.036991243,3.765088056,-1.967444993,-1.954177898,-0.958322361,-0.834267447,0
Flamingo Bay Cay,2007,m,1,50,2.5,1.698970004,0.544068044,3.912023005,0.916290732,-0.000511432,4.261295339,-1.742927705,-1.549865229,-0.01324954,0.290919135,5.586592179
Flamingo Bay Cay,2007,m,1,50,2.7,1.698970004,0.568201724,3.912023005,0.993251773,0.023622247,4.602198966,-1.742927705,-1.37017071,0.611975323,1.063943233,5.586592179
Flamingo Bay Cay,2007,m,0,50,2.4,1.698970004,0.531478917,3.912023005,0.875468737,-0.01310056,4.090843525,-1.742927705,-1.639712489,-0.339392734,-0.095592914,0
Flamingo Bay Cay,2007,m,0,52,2.7,1.716003344,0.568201724,3.951243719,0.993251773,-0.021588892,3.981321065,-1.29389313,-1.37017071,-0.559297729,-0.343943163,0
Flamingo Bay Cay,2007,m,0,52,2.6,1.716003344,0.556302501,3.951243719,0.955511445,-0.033488116,3.83386473,-1.29389313,-1.460017969,-0.867567763,-0.678311271,0
Flamingo Bay Cay,2007,m,0,52.5,2.8,1.720159303,0.579783597,3.96081317,1.029619417,-0.021038073,3.985338343,-1.181634486,-1.28032345,-0.545027807,-0.334833689,0
Flamingo Bay Cay,2007,m,1,53,2.9,1.72427587,0.591064607,3.970291914,1.064710737,-0.020683555,3.985606808,-1.069375842,-1.19047619,-0.535843399,-0.334224925,5.586592179
Flamingo Bay Cay,2007,m,0,53,3.1,1.72427587,0.612783857,3.970291914,1.131402111,0.001035695,4.260476243,-1.069375842,-1.010781671,0.026831464,0.289061776,0
Flamingo Bay Cay,2007,m,1,54,3.2,1.73239376,0.62324929,3.988984047,1.16315081,-0.010045972,4.104410861,-0.844858554,-0.920934412,-0.260258344,-0.064827981,5.586592179
Flamingo Bay Cay,2007,m,0,54,3.2,1.73239376,0.62324929,3.988984047,1.16315081,-0.010045972,4.104410861,-0.844858554,-0.920934412,-0.260258344,-0.064827981,0
Flamingo Bay Cay,2007,m,1,55,3.9,1.740362689,0.69019608,4.007333185,1.360976553,0.035749099,4.674339601,-0.620341266,-0.292003594,0.926142469,1.227527441,5.586592179
