rowID,fishID,lake,SL_cm,meanScaleCirculiSpacing,ascendingProcess_cm,bodyDepth_cm,orbitDiameter_cm,headDepth_cm,jawLength_cm,speciesDiagnosticColoration
93,A195,Barombi Mbo,7.434,42.04322398,0.656989423,2.382741362,0.924811298,1.593270015,1.167895068,mariae
94,A20,Barombi Mbo,5.055,43.36442023,0.467118583,1.719273906,0.510157408,1.057849636,0.759841658,pindu
95,A200,Barombi Mbo,3.995,29.35414461,0.398982277,1.292584147,0.521695165,0.931805892,0.593960678,mariae
96,A201,Barombi Mbo,4.033,45.32706473,0.412476629,1.347496752,0.455629196,0.864859457,0.641520555,mariae
97,A207,Barombi Mbo,6.545,92.8690043,0.63175256,2.178767264,0.732395146,1.414442492,0.977149283,mariae
98,A208,Barombi Mbo,4.78,65.60278588,0.48121123,1.587082986,0.534881512,1.060158396,0.728841658,pindu
99,A209,Barombi Mbo,3.465,36.80398619,0.358131369,1.158836369,0.447896655,0.746567502,0.552406626,mariae
100,A210,Barombi Mbo,7.465,55.59578119,0.665461406,2.476077967,0.753251754,1.569650766,1.122000849,mariae
101,A211,Barombi Mbo,7.3,36.129,0.735383808,2.434913523,0.805456842,1.551365546,1.139686794,mariae
102,A212,Barombi Mbo,3.815,37.70545287,0.370440212,1.305379064,0.4410426,0.858503766,0.572056247,pindu
103,A214,Barombi Mbo,3.095,39.83440715,0.308831284,1.028872917,0.361514911,0.651896649,0.465341012,mariae
104,A215,Barombi Mbo,6.79,48.95541576,0.661938658,2.292136448,0.731916466,1.586734949,1.076569397,pindu
105,A216,Barombi Mbo,4.198,36.49651611,0.421128783,1.410472424,0.485376496,0.96934209,0.640890635,pindu
106,A217,Barombi Mbo,3.2,33.5764523,0.320006459,1.021243034,0.386809221,0.651582923,0.474338438,pindu
107,A218,Barombi Mbo,5.27,44.84300444,0.548521284,1.930716189,0.553828524,1.207301035,0.814178219,pindu
108,A219,Barombi Mbo,3.468,33.86324793,0.329401868,1.131853819,0.40160976,0.729961126,0.512101079,mariae
109,A221,Barombi Mbo,3.543,38.52063571,0.350334473,1.143854668,0.460603959,0.708457526,0.526239829,pindu
110,A224,Barombi Mbo,3.82,38.27839923,0.347701269,1.215255573,0.465514621,0.802643192,0.574486876,mariae
111,A225,Barombi Mbo,6.013,48.67544887,0.611788635,2.15621858,0.66189868,1.285402703,0.926689983,pindu
112,A227,Barombi Mbo,6.096,36.59293523,0.574793102,2.097769243,0.70481911,1.357820234,0.893735808,pindu
113,A228,Barombi Mbo,4.458,37.95851348,0.422541785,1.444417533,0.587875376,0.963691366,0.681930693,mariae
114,A230,Barombi Mbo,6.664,48.5717619,0.673223039,2.422111394,0.668334729,1.467027202,1.039058545,pindu
115,A231,Barombi Mbo,4.486,38.94312881,0.449055949,1.553567075,0.491121563,0.979025298,0.699289554,pindu
116,A232,Barombi Mbo,4.186,42.3336506,0.414396643,1.423538081,0.47285287,0.896415273,0.666173475,pindu
117,A233,Barombi Mbo,4.49,38.08779107,0.450763753,1.569805306,0.485915286,1.041711453,0.668146506,mariae
118,A234,Barombi Mbo,3.833,39.22354177,0.404010504,1.312581469,0.452791453,0.808118297,0.618170681,pindu
119,A235,Barombi Mbo,3.845,33.12096428,0.359561618,1.249109235,0.468438986,0.817140614,0.607728585,mariae
120,A236,Barombi Mbo,4.428,35.99105512,0.486450187,1.539768343,0.514066087,0.967895755,0.710170218,ambiguous
121,A237,Barombi Mbo,5.323,40.23973696,0.539007386,1.81155174,0.583351799,1.134849009,0.812167935,pindu
122,A240,Barombi Mbo,4.251,46.44428967,0.454315159,1.477459577,0.502279642,0.948841063,0.705847076,ambiguous
123,A241,Barombi Mbo,5.469,36.49197046,0.571074639,1.98091232,0.62555347,1.263502742,0.862846228,pindu
124,A244,Barombi Mbo,5.275,38.53030178,0.540486604,1.828650983,0.573117378,1.084703929,0.806828047,pindu
125,A248,Barombi Mbo,4.805,45.75212569,0.493967774,1.64908612,0.521531604,1.085994779,0.744309275,pindu
126,A250,Barombi Mbo,5.345,76.06463715,0.544724073,1.747672725,0.628579693,1.171392473,0.909087736,pindu
127,A251,Barombi Mbo,3.786,36.51653567,0.342562435,1.182986295,0.463967683,0.794764787,0.56262227,mariae
128,A252,Barombi Mbo,4.316,40.81534112,0.390188041,1.46319435,0.494644099,0.917669122,0.67245531,ambiguous
129,A253,Barombi Mbo,4.173,40.41250724,0.436784934,1.352125609,0.459321638,0.884122337,0.629664347,ambiguous
130,A256,Barombi Mbo,7.092,50.43884852,0.657424741,2.34402258,0.709940041,1.525318042,1.047214253,pindu
131,A257,Barombi Mbo,4.36,39.11222063,0.428183177,1.508543836,0.474054991,0.908522635,0.644798159,pindu
132,A258,Barombi Mbo,5.98,94.6079442,0.537462532,2.002390554,0.641685482,1.261489452,0.967912409,mariae
133,A263,Barombi Mbo,5.582,39.91080373,0.567531638,1.917563111,0.6203242,1.170023441,0.865549752,pindu
134,A269,Barombi Mbo,4.158,40.02008148,0.404815135,1.374941878,0.489810602,0.878770179,0.625623285,mariae
135,A270,Barombi Mbo,6.332,52.11236128,0.603438324,2.219518802,0.679412275,1.433058112,1.016157527,pindu
136,A271,Barombi Mbo,6.716,48.20946896,0.634978912,2.300009657,0.677869299,1.373236741,1.039992554,pindu
137,A272,Barombi Mbo,5.381,39.05214004,0.553262143,1.754532029,0.572886732,1.177668411,0.820538921,ambiguous
138,A273,Barombi Mbo,6.163,39.02107316,0.610936265,2.194161632,0.635913507,1.49459138,0.965075192,pindu
139,A274,Barombi Mbo,4.1,40.50423566,0.364778998,1.386828089,0.445594569,0.892604189,0.633071342,ambiguous
140,A275,Barombi Mbo,5.589,47.33609372,0.557405605,1.96172577,0.623283521,1.25676049,0.863086639,pindu
141,A277,Barombi Mbo,5.702,41.54901382,0.5394674,2.027659883,0.650638806,1.185727197,0.882816823,ambiguous
142,A282,Barombi Mbo,5.685,67.57976609,0.583091227,1.984525352,0.610507983,1.215921774,0.94201982,pindu
143,A283,Barombi Mbo,3.668,31.90305777,0.378725081,1.196853633,0.468611129,0.817806087,0.599464441,mariae
144,A285,Barombi Mbo,4.886,44.26845616,0.47613382,1.707052237,0.523068627,1.0464899,0.727730723,pindu
145,A286,Barombi Mbo,4.87,38.36480199,0.494090675,1.715654121,0.551387937,1.051280689,0.753659472,pindu
146,A288,Barombi Mbo,3.245,38.91597939,0.330148884,1.107529137,0.366771888,0.683883632,0.462712413,pindu
147,A289,Barombi Mbo,2.76,28.04876974,0.298854848,0.907416081,0.360385167,0.607000712,0.444805229,mariae
148,A293,Barombi Mbo,4.168,40.10123257,0.454174735,1.417265174,0.538049722,0.990494448,0.664925764,ambiguous
149,A298,Barombi Mbo,4.695,39.61951435,0.446271932,1.640150967,0.521015986,0.974231592,0.723538938,pindu
150,A299,Barombi Mbo,4.21,41.23039933,0.411988375,1.460288162,0.498650706,0.877538115,0.654242892,mariae
151,A301,Barombi Mbo,4.56,43.94965547,0.462258202,1.532147265,0.512561716,0.988511114,0.692284501,pindu
152,A302,Barombi Mbo,5.75,40.9082708,0.5760679,2.015253653,0.628396207,1.248572333,0.888207826,pindu
153,A304,Barombi Mbo,3.565,32.39533662,0.348393659,1.170212704,0.431937617,0.780858711,0.567664007,mariae
154,A306,Barombi Mbo,4.37,41.82649388,0.426670539,1.487799616,0.517987765,0.921597686,0.672091612,ambiguous
