Site,Species,ID,RelFitness,stdRGR,stdSLA,stdRMR,stdN,stdDELTA
OPNM,ERLA,28,0.670036693,-0.2311416,-0.624235526,0.482865373,0.438978595,-0.439338449
OPNM,ERLA,29,0.757379274,0.308470604,1.216340429,0.64875124,0.638093888,0.927082048
OPNM,ERLA,30,0.481641666,-1.542571978,-0.193024665,3.745187766,-2.015853244,1.791751156
OPNM,ERLA,31,0.604369104,-0.34438319,1.236755859,1.385441754,-0.735513057,0.902151262
OPNM,ERLA,32,0.727402379,-0.595618532,1.174121245,0.527928136,-0.059444496,0.822400647
OPNM,ERLA,33,0.821668265,-0.595618532,-0.040595355,1.008018983,0.948829173,0.437595855
OPNM,ERLA,34,0.701381393,-0.786372135,-0.347412667,1.849696847,-1.512639843,-0.283266433
OPNM,ERLA,35,0.984505162,0.049427658,0.30725879,-0.151836749,-0.421661184,0.649786864
OPNM,ERLA,36,0.703935955,-2.246162455,-0.422345107,-1.333139483,-0.8033854,-2.046829473
OPNM,ERLA,37,0.81550592,-0.079376001,-1.054870623,0.247825394,-0.720968983,0.761736292
OPNM,ERLA,38,0.665847095,-0.385186816,0.047756932,0.557461535,-0.27887532,0.348851002
OPNM,ERLA,39,0.837789663,-0.419055864,0.852366929,-0.568341138,0.162294911,0.043240673
OPNM,ERLA,40,0.982333226,0.033377225,-0.93101962,-0.361311793,-0.654712648,-0.411430501
OPNM,ERLA,41,1.360016719,1.348224724,0.412313293,-0.424764628,0.424319093,0.649105338
OPNM,ERLA,42,1.153886488,0.240540968,0.275149054,0.469423811,-1.523894185,-0.118074682
OPNM,ERLA,43,0.792374829,-0.577377353,0.891257799,1.832976482,-1.062523853,1.599231205
OPNM,ERLA,44,0.808758503,0.486139122,-0.613097428,0.903339007,-0.202692077,1.077507623
OPNM,ERLA,45,0.504623156,-0.385186816,-1.062230018,-0.913958575,-0.455366498,0.991043631
OPNM,ERLA,46,0.577124314,-0.786372135,0.935552186,1.697446398,-0.354943133,0.673111539
OPNM,ERLA,47,0.565486856,-0.527914824,1.690464561,0.945438587,-1.898230935,0.221017124
OPNM,ERLA,48,1.260535298,1.360999589,-0.157198186,-0.702903463,1.087459588,-0.331183526
OPNM,ERLA,49,1.341064293,0.755902628,0.105378991,-0.592492762,1.73744116,0.31744732
OPNM,ERLA,50,0.886893866,0.120625287,1.071830765,0.539975635,0.560756354,0.68893035
OPNM,ERLA,51,1.284149872,1.311105734,-0.202774294,0.286154303,1.407429206,-0.23099771
OPNM,ERLA,52,0.931552744,1.162058976,0.038731062,0.340506426,0.337862655,0.501294167
OPNM,ERLA,53,0.65008716,-0.079376001,0.498241456,-0.917732587,0.478801654,-0.955503032
OPNM,ERLA,54,0.922223702,0.060489798,-0.1968762,-0.152881329,1.2989258,-0.181629246
OPNM,ERLA,55,1.152281821,0.454520225,-1.25931276,0.277606619,1.396232578,-0.341176508
OPNM,ERLA,56,1.721702919,2.872220236,-0.462521287,-0.785594532,0.324242015,-1.369601108
OPNM,ERLA,57,1.605983611,-0.456183087,-0.420613904,-0.060072025,-0.966429081,-3.995399737
OPNM,ERLA,58,1.277069014,1.251381137,1.146690222,0.499642896,1.685555755,-1.269269011
OPNM,ERLA,59,1.602335787,.,0.866468986,-0.454019183,1.101137943,-0.404092314
OPNM,ERLA,60,1.07883053,1.06152291,-1.497897386,-1.258351007,1.176166894,-0.325111428
OPNM,ERLA,61,1.443467225,0.145498642,-0.73056789,-0.743787563,0.40007897,-0.603930671
OPNM,ERLA,62,1.933802883,-0.098247092,-1.567548741,-1.723237176,-0.704000898,-3.804589588
OPNM,ERLA,63,1.930392614,0.763542268,-0.368346065,-1.130989344,0.686112416,-2.341660318
OPNM,ERLA,64,1.898864909,1.485485067,0.991839493,-0.946381237,1.372569601,-1.468781852
OPNM,ERLA,65,1.299728826,1.033483817,0.416983279,-0.277491643,-0.268602125,0.322094024
OPNM,ERLA,66,0.596897421,-0.149185816,-0.664310447,-0.491503089,-1.028472252,0.125878487
OPNM,ERLA,67,0.977952625,1.403313344,0.00601575,.,0.036361703,0.255559026
OPNM,ERLA,69,0.747831039,0.5996838,-1.207312558,0.89944402,-0.609579849,0.071345063
OPNM,ERLA,70,1.432084018,2.236436429,-0.420508811,-0.764836578,0.67329978,-0.928325086
OPNM,ERLA,71,2.014895205,1.653140374,0.768610791,-1.274144558,0.268489733,-1.401129163
OPNM,ERLA,72,0.845827551,0.190222357,1.675853236,0.005274552,-1.003308696,1.323830179
OPNM,ERLA,73,1.470104138,3.422344813,1.157121517,0.012684778,0.130667322,-0.832424678
OPNM,ERLA,75,0.389176385,-1.279934535,-0.331298669,1.575672239,-2.859986655,-0.346493531
OPNM,ERLA,76,0.776328842,0.120625287,-1.083801979,-0.302654328,-0.773027532,0.534752527
OPNM,ERLA,77,1.00440828,1.403313344,-0.481592536,-0.486622311,0.731476074,-0.300495891
OPNM,ERLA,78,0.998185257,-0.786372135,0.983597679,0.558373476,0.348712996,-0.047200318
OPNM,ERLA,79,0.716462984,-0.527914824,-0.498845074,0.070705299,-0.682415646,0.497616969
OPNM,ERLA,80,0.869406323,0.971454022,0.479207553,-0.265826167,-1.092073717,0.670185465
OPNM,ERLA,81,0.492754726,-1.542571978,0.269114044,1.564151803,-0.854520516,-0.504527072
OPNM,ERLA,82,0.977637829,0.120625287,0.005916102,0.107493458,-0.004384789,-0.089025142
OPNM,ERLA,83,0.945823835,0.120625287,-0.6899361,0.986868628,-0.021583733,0.454712912
OPNM,ERLA,84,0.646414511,0.229313714,0.791986196,0.608824336,0.149366845,0.518163395
OPNM,ERLA,85,1.07883053,1.216870856,-0.629812788,-0.646465059,-0.556482437,-0.623320036
OPNM,ERLA,86,0.984505162,0.55470413,0.551380807,-0.672341603,-0.705616906,0.596412041
OPNM,ERLA,87,0.573580502,0.816588888,0.344459232,0.159326503,-0.98368574,0.565187334
OPNM,ERLA,88,0.863116203,0.954548112,0.500647972,-0.221965605,-0.467486559,0.100569508
OPNM,ERLA,89,0.931552744,1.264250083,-0.055133326,0.684390274,0.115430674,0.045151775
OPNM,ERLA,90,0.908549673,-0.577377353,-0.790099228,-0.768535157,-0.659445244,-1.415133342
OPNM,ERLA,91,0.999378297,0.486139122,-0.987120525,-0.906785119,-0.503615884,-0.272335934
OPNM,ERLA,92,0.706473848,0.229313714,-1.145709596,-0.85402463,-0.778914419,2.21741224
OPNM,ERLA,93,0.75904019,-0.294251554,-0.125552751,-0.284453959,-0.767371504,1.046913762
OPNM,ERLA,94,0.95627687,0.55470413,-0.854535988,-0.86012712,0.507312655,0.410932057
OPNM,ERLA,95,0.730981521,0.120625287,-0.986949709,-1.508894641,-0.238013399,0.765416516
OPNM,ERLA,96,0.92906301,-0.419055864,-0.992736593,-1.720638462,-0.632896538,1.534116742
OPNM,ERLA,97,0.78572628,0.816588888,-0.375648956,-0.392768381,0.554754038,-0.198785011
OPNM,ERLA,98,0.338872675,-0.294251554,-0.42843657,1.875722637,.,.
OPNM,ERLA,99,0.848909078,0.007980696,0.277527771,-0.345494586,0.142441096,0.868182472
